Cell HMS LINCS ID	Cell Name	Small Molecule HMS LINCS ID	Small Molecule Name	Replicate	Seeding Density	IC50	Emax (IC)	AUC (IC)	Curve Fit (IC)	r^2 (IC)	EC50 (IC)	Einf (IC)	Hill Coefficient (IC)	GR50	GRmax	AUC (GR)	Curve Fit (GR)	r^2 (GR)	EC50 (GR)	GRinf	Hill Coefficient (GR)
50029	MCF7	10024-101-1	NVP-TAE684	1	156.25	0.1519	0.3193	0.3967	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6193	0.0644	0.3262	1.2302	0.065	-0.1298	0.6318	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6437	0.0749	-0.1020	1.3170
50029	MCF7	10024-101-1	NVP-TAE684	1	312.50	0.4509	0.2754	0.3024	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9794	0.2457	0.2733	1.3021	0.2018	-0.2296	0.5092	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9843	0.2687	-0.2307	1.3254
50029	MCF7	10024-101-1	NVP-TAE684	1	625.00	0.2192	0.2678	0.4064	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.938	0.099	0.2470	0.8569	0.0695	-0.2274	0.6602	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9391	0.1098	-0.2493	0.8837
50029	MCF7	10024-101-1	NVP-TAE684	1	1250.00	0.1798	0.2463	0.3900	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.993	0.1022	0.2465	1.2012	0.0842	-0.2788	0.6383	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9948	0.1223	-0.2814	1.1945
50029	MCF7	10024-101-1	NVP-TAE684	1	2500.00	0.1816	0.2284	0.3947	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9869	0.1092	0.2285	1.2011	0.0998	-0.2196	0.5990	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9911	0.1392	-0.2296	1.1347
50029	MCF7	10024-101-1	NVP-TAE684	1	5000.00	0.2805	0.2443	0.3582	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9951	0.1563	0.2404	1.1203	0.1732	-0.1027	0.4927	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9959	0.2149	-0.1268	1.0475
50029	MCF7	10049-101-1	PLX-4720	1	156.25	Inf	1.0500	0.0392	flat fit: x = Einf	0.0284	Inf	1.0500	0.0000	Inf	1.0500	0.0701	flat fit: x = Einf	0.0392	Inf	1.0500	0.0000
50029	MCF7	10049-101-1	PLX-4720	1	312.50	Inf	1.0407	-0.0433	flat fit: x = Einf	-7.967	Inf	1.0407	0.0000	Inf	1.0277	-0.0417	flat fit: x = Einf	-5.0111	Inf	1.0277	0.0000
50029	MCF7	10049-101-1	PLX-4720	1	625.00	Inf	0.9301	-0.0366	flat fit: x = Einf	-0.2052	Inf	0.9301	0.0000	Inf	0.9279	-0.0383	flat fit: x = Einf	-0.2419	Inf	0.9279	0.0000
50029	MCF7	10049-101-1	PLX-4720	1	1250.00	Inf	0.8833	-0.0273	flat fit: x = Einf	0.3821	Inf	0.8833	0.0000	25.8741	0.8293	-0.0278	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.5901	32.2082	-0.9944	5.0000
50029	MCF7	10049-101-1	PLX-4720	1	2500.00	Inf	0.8932	-0.0260	flat fit: x = Einf	0.3153	Inf	0.8932	0.0000	26.6745	0.8514	-0.0235	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.5115	33.1721	-0.9872	5.0000
50029	MCF7	10049-101-1	PLX-4720	1	5000.00	30.4154	0.8616	-0.0058	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6868	27.315	0.2079	5.0000	27.4593	0.8377	-0.0042	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.7273	28.3756	-0.0892	5.0000
50029	MCF7	10071-101-1	Palbociclib	1	156.25	Inf	1.0500	0.2670	flat fit: x = Einf	0.1891	Inf	1.0500	0.0000	Inf	0.9981	0.4897	flat fit: x = Einf	0.2058	Inf	0.9981	0.0000
